inst,group,lrc_dev,sharpe,sharpe_gross,cagr,exposure,inside_pct,trades,win_rate,avg_bars,max_bars,long_trades,short_trades,long_pnl,short_pnl,both_band_bars,bars,start,end
INFY,NSE 1h stock,1.0,-0.02279729632684828,0.46641697833866297,-0.011990848317721528,0.29252020296936665,0.5055440706634091,400,0.6125,7.7825,42,180,220,0.15913508726366865,0.021741704088246494,2,10642,2017-01-02,2023-02-28
INFY,NSE 1h stock,1.5,-0.31270967343646483,0.25643465976674895,-0.05999762272978179,0.3985153166697989,0.7503288855478294,547,0.6014625228519196,7.753199268738574,42,248,299,0.15033280737691312,-0.1777307690047087,3,10642,2017-01-02,2023-02-28
INFY,NSE 1h stock,2.0,-0.4937045804028901,0.08115345409007468,-0.09990655193607118,0.4638225897387709,0.8884608156361586,630,0.6,7.834920634920635,42,285,345,0.09169665147744827,-0.3178691604224267,3,10642,2017-01-02,2023-02-28
INFY,NSE 1h stock,2.5,-0.6451977841544956,-0.07629376693497435,-0.13114761743118167,0.4862807742905469,0.937793647810562,657,0.6027397260273972,7.876712328767123,53,299,358,-0.2129041530082066,-0.2035858142803032,6,10642,2017-01-02,2023-02-28
INFY,NSE 1h stock,3.0,-0.5634124532967516,-0.0006014580061966677,-0.11988522068624524,0.4893816951700808,0.957150911482804,662,0.6027190332326284,7.867069486404834,53,300,362,-0.2148180165934308,-0.11688850987772292,6,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,0.5,-0.5869807250338054,-0.2765660832555548,-0.05638097373769808,0.12958090584476603,0.22552151851155797,173,0.6127167630057804,7.971098265895954,49,90,83,0.06333423194267418,-0.3040992720296439,2,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,1.0,-0.9548199260270631,-0.4954761022589168,-0.1176295670861766,0.26226273256906596,0.46119150535613607,344,0.6017441860465116,8.113372093023257,49,168,176,-0.005302231755553111,-0.5375296260731546,5,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,1.5,-0.788175582389966,-0.1941529585891583,-0.11872632861868694,0.3748355572260853,0.7133997368915618,530,0.6094339622641509,7.526415094339622,49,258,272,0.03343930540277129,-0.47154593485265195,6,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,2.0,-0.7459291327408437,-0.0999199085248303,-0.12569599143754526,0.44690847585040405,0.8808494643863936,638,0.6159874608150471,7.454545454545454,49,304,334,0.11312957173395954,-0.530737114218581,8,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,2.5,-0.6820370647600981,-0.028378877515442803,-0.12004286239349453,0.4637286224393911,0.9435256530727307,664,0.6159638554216867,7.432228915662651,49,318,346,0.13437788404457662,-0.49518510849163844,9,10642,2017-01-02,2023-02-28
TCS,NSE 1h stock,3.0,-0.7290377710050528,-0.08171810631078621,-0.129202494391506,0.46588987032512685,0.9610035707573764,669,0.617339312406577,7.411061285500748,49,319,350,0.10718181992635106,-0.5260484267752258,10,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,0.5,-0.6270616897514145,-0.3157241412225091,-0.06918461260583367,0.15034767900770532,0.2521142642360459,200,0.6,8.0,42,88,112,0.04656689468264985,-0.34826741613949486,4,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,1.0,-0.9883913470996275,-0.5523730126218904,-0.1392800776645249,0.2800225521518512,0.5392783311407631,376,0.5904255319148937,7.925531914893617,46,176,200,-0.18832276113261792,-0.47408864993863453,6,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,1.5,-1.1301876033224318,-0.60316185695986,-0.1792072557438766,0.3752114264236046,0.7379252020296937,523,0.5697896749521989,7.634799235181644,46,243,280,-0.48307337096389363,-0.37510516621193546,7,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,2.0,-1.3232920124799936,-0.7530328269307793,-0.21746669759327897,0.43196767524901336,0.8752114264236046,604,0.5678807947019867,7.610927152317881,46,291,313,-0.4856727465504073,-0.6109429098750432,7,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,2.5,-1.2376934699220872,-0.6496703789103274,-0.2121316155202753,0.4548956962976884,0.9396729937981583,643,0.5707620528771384,7.528771384136858,46,309,334,-0.3272964902788426,-0.7024052188957144,7,10642,2017-01-02,2023-02-28
ITC,NSE 1h stock,3.0,-1.294324905350719,-0.7048253990411374,-0.2217595428771639,0.46241308024807365,0.9586543882728811,650,0.5723076923076923,7.570769230769231,46,309,341,-0.3982609495779183,-0.7010436367599334,8,10642,2017-01-02,2023-02-28
LT,NSE 1h stock,0.5,-0.016677039227279443,0.31518541688380336,-0.006268211701380642,0.13921447666049763,0.23349784083898828,178,0.6179775280898876,7.606741573033708,34,85,93,0.30726281582002307,-0.22721964879356088,2,9726,2017-07-13,2023-02-28
LT,NSE 1h stock,1.0,-0.22194061156308048,0.22815946331793,-0.0379911669506416,0.2615669339913634,0.4771745835903763,335,0.6119402985074627,7.594029850746269,38,158,177,0.3056912054926606,-0.3034703070056974,3,9726,2017-07-13,2023-02-28
LT,NSE 1h stock,1.5,-0.8064112208400851,-0.3142322786125022,-0.1381416730451284,0.3662348344643224,0.7057371992597162,457,0.6105032822757112,7.794310722100657,38,227,230,0.005393666463115732,-0.5252575942173238,3,9726,2017-07-13,2023-02-28
LT,NSE 1h stock,2.0,-0.57450860271403,-0.03923436040521633,-0.11720419231909406,0.44262800740283775,0.8758996504215505,555,0.6288288288288288,7.756756756756757,38,271,284,0.04062507432474377,-0.3587682730865285,5,9726,2017-07-13,2023-02-28
LT,NSE 1h stock,2.5,-0.8605003749183541,-0.32573434602982443,-0.17082741305666896,0.4626773596545342,0.9432449105490438,581,0.6247848537005164,7.74526678141136,39,282,299,-0.12238263043637898,-0.5215330541366796,5,9726,2017-07-13,2023-02-28
LT,NSE 1h stock,3.0,-0.8914408367236629,-0.3674982169526951,-0.18099724982771653,0.4668928644869422,0.958975940777298,586,0.6228668941979523,7.749146757679181,39,286,300,-0.1978237712322405,-0.5056973832194446,5,9726,2017-07-13,2023-02-28
AXISBANK,NSE 1h stock,0.5,-0.3908128439052533,-0.08718093019125187,-0.053092680047391816,0.15788978747413956,0.28004513823584726,223,0.6457399103139013,7.5291479820627805,45,114,109,0.13886735782592363,-0.31438765538608676,1,10634,2017-01-02,2023-02-28
AXISBANK,NSE 1h stock,1.0,-0.4307167462927422,-0.05302233065401488,-0.08653420613427251,0.29085950724092535,0.5231333458717322,401,0.6334164588528678,7.713216957605985,45,190,211,0.27432247031524204,-0.5310944045958457,1,10634,2017-01-02,2023-02-28
AXISBANK,NSE 1h stock,1.5,-0.496231842863689,-0.05384639631570168,-0.11456936745681431,0.3960880195599022,0.7465676133157796,547,0.6416819012797075,7.70018281535649,45,261,286,0.15475153093230648,-0.49481424509336747,1,10634,2017-01-02,2023-02-28
