instrument,sharpe,n,k,sma_len,entry_frac,exit_z
SP500,0.23977738549808478,80,3.0,10,0.7,0.5
SP500,0.135495481946603,80,3.0,10,0.9,-0.5
SP500,0.2397047502934161,80,3.0,10,0.9,0.0
SP500,0.2930409304029321,80,3.0,10,0.9,0.5
SP500,0.20233654691813038,80,3.0,10,1.0,-0.5
SP500,0.29837566314916397,80,3.0,10,1.0,0.0
SP500,0.33802528907141544,80,3.0,10,1.0,0.5
SP500,0.13383795633369347,80,3.0,20,0.7,-0.5
SP500,0.25890250248295266,80,3.0,20,0.7,0.0
SP500,0.23977738549808478,80,3.0,20,0.7,0.5
SP500,0.135495481946603,80,3.0,20,0.9,-0.5
SP500,0.2397047502934161,80,3.0,20,0.9,0.0
SP500,0.2930409304029321,80,3.0,20,0.9,0.5
SP500,0.20233654691813038,80,3.0,20,1.0,-0.5
SP500,0.29837566314916397,80,3.0,20,1.0,0.0
SP500,0.33802528907141544,80,3.0,20,1.0,0.5
SP500,0.14449655537481762,80,3.0,50,0.7,-0.5
SP500,0.24985156165287614,80,3.0,50,0.7,0.0
SP500,0.2572351896716938,80,3.0,50,0.7,0.5
SP500,0.1459002199864314,80,3.0,50,0.9,-0.5
SP500,0.2331978305255353,80,3.0,50,0.9,0.0
SP500,0.2738404874730638,80,3.0,50,0.9,0.5
SP500,0.17374853971525836,80,3.0,50,1.0,-0.5
SP500,0.2533536932531868,80,3.0,50,1.0,0.0
SP500,0.2929930884484627,80,3.0,50,1.0,0.5
SP500,-0.26308104480665057,100,1.5,10,0.7,-0.5
SP500,-0.1185702595550787,100,1.5,10,0.7,0.0
SP500,-0.1682697340869796,100,1.5,10,0.7,0.5
SP500,-0.20520923747655848,100,1.5,10,0.9,-0.5
SP500,-0.07558909053426084,100,1.5,10,0.9,0.0
SP500,-0.18689942959648675,100,1.5,10,0.9,0.5
SP500,-0.23935205632993634,100,1.5,10,1.0,-0.5
SP500,-0.1155810244579974,100,1.5,10,1.0,0.0
SP500,-0.22921155786125452,100,1.5,10,1.0,0.5
SP500,0.07606016968019215,100,1.5,20,0.7,-0.5
SP500,0.1582067348535661,100,1.5,20,0.7,0.0
SP500,0.11498982297582896,100,1.5,20,0.7,0.5
SP500,0.12518194817658956,100,1.5,20,0.9,-0.5
SP500,0.21214533032734725,100,1.5,20,0.9,0.0
SP500,0.14574872539204103,100,1.5,20,0.9,0.5
SP500,0.09472633802705277,100,1.5,20,1.0,-0.5
