inst,horizon,event,subset,n,fade_excess,t
HINDUNILVR,20,upper touch,all,1605,0.00037497767516060367,0.14386041558811297
HINDUNILVR,20,upper touch,blue inside,1422,0.00044351239416769704,0.15506804209695466
ASIANPAINT,5,lower touch,all,1276,-0.0003523047450339253,-0.3563460792207847
ASIANPAINT,5,lower touch,blue inside,1190,-0.0005688459058190748,-0.5795594734252492
ASIANPAINT,5,upper touch,all,1643,0.000240077077427383,0.3155921333624536
ASIANPAINT,5,upper touch,blue inside,1491,0.00030445571214995833,0.3846964625152917
ASIANPAINT,10,lower touch,all,1276,-0.0004612721013547631,-0.2407341177361288
ASIANPAINT,10,lower touch,blue inside,1190,-0.0008860059994539598,-0.46469884527494026
ASIANPAINT,10,upper touch,all,1642,0.0005834910057159212,0.3837942371270457
ASIANPAINT,10,upper touch,blue inside,1490,0.0006018042072532045,0.37043750600409125
ASIANPAINT,20,lower touch,all,1276,-0.0007947115512293599,-0.21996306271849506
ASIANPAINT,20,lower touch,blue inside,1190,-0.0013025713658782994,-0.34459995972624846
ASIANPAINT,20,upper touch,all,1642,0.0002531274570863648,0.08382067372802515
ASIANPAINT,20,upper touch,blue inside,1490,0.0006415189967413531,0.19799466002971816
BAJFINANCE,5,lower touch,all,1302,-8.061157916675583e-05,-0.05577383825715502
BAJFINANCE,5,lower touch,blue inside,1128,0.0005564236061177392,0.40002781561363776
BAJFINANCE,5,upper touch,all,1351,-0.0012806464506318058,-1.0189231767480162
BAJFINANCE,5,upper touch,blue inside,1182,-0.0012155176327016703,-0.9210180214774953
BAJFINANCE,10,lower touch,all,1301,0.0011692130767377389,0.4169121627661556
BAJFINANCE,10,lower touch,blue inside,1127,0.002420855594929601,0.8886457096076043
BAJFINANCE,10,upper touch,all,1351,-0.0012026449076006666,-0.4540927190066298
BAJFINANCE,10,upper touch,blue inside,1182,-0.0008700649057468916,-0.3182464037046684
BAJFINANCE,20,lower touch,all,1298,0.00149956221757373,0.2548461150068617
BAJFINANCE,20,lower touch,blue inside,1124,0.0037323375478817665,0.7122840271188196
BAJFINANCE,20,upper touch,all,1351,-0.0017948470819605727,-0.33712534792586013
BAJFINANCE,20,upper touch,blue inside,1182,-0.0019119343282710012,-0.3484838244870213
