inst,group,year,sharpe,ret
NASDAQ,US daily,2004,-1.0546440239876527,-0.13596065164355065
NASDAQ,US daily,2005,-1.1232804338830122,-0.10508901837795873
NASDAQ,US daily,2006,0.3715263430188104,0.03650850397143092
NASDAQ,US daily,2007,0.3679727329543391,0.04330512145145308
NASDAQ,US daily,2008,-1.029098029995122,-0.2960363514151859
NASDAQ,US daily,2009,0.01669873038753801,0.0036684657690973614
NASDAQ,US daily,2010,-1.477013774171787,-0.201899176051757
NASDAQ,US daily,2011,-0.5501627284601679,-0.09882674663309801
NASDAQ,US daily,2012,-0.9412152143214064,-0.10192895347143702
NASDAQ,US daily,2013,-0.08148265617828405,-0.0064457790708789126
NASDAQ,US daily,2014,0.2808069289667929,0.027360704165316208
NASDAQ,US daily,2015,1.2025564108583457,0.12844474560980546
NASDAQ,US daily,2016,-0.6630676842849096,-0.07252362445198912
NASDAQ,US daily,2017,-0.9330360135770275,-0.06043928751801912
NASDAQ,US daily,2018,-0.625776788628032,-0.08456781539752248
GOOG,US daily,2005,,0.0
GOOG,US daily,2006,-1.4705439004362386,-0.26413996351111224
GOOG,US daily,2007,-1.0236201088121455,-0.1673142403014511
GOOG,US daily,2008,-0.8870926727665229,-0.3600256967446246
GOOG,US daily,2009,-0.5958748238276498,-0.137922799947611
GOOG,US daily,2010,-1.8720461994423316,-0.40823201782534535
GOOG,US daily,2011,-0.6451798106266611,-0.1497199930932885
GOOG,US daily,2012,-1.6365001574165592,-0.2560460417143423
EURUSD,US daily,2017,-1.1448108087734854,-0.19853421600310567
EURUSD,US daily,2018,-1.4451540400818728,-0.04357240818676543
NIFTY50,NSE daily,2012,,0.0
NIFTY50,NSE daily,2013,0.18229501342159407,0.008630137699811663
NIFTY50,NSE daily,2014,-2.305236681600383,-0.18684435948335104
NIFTY50,NSE daily,2015,-0.3443615250619948,-0.04025338331518255
NIFTY50,NSE daily,2016,-0.7052585077724313,-0.07614052059950259
NIFTY50,NSE daily,2017,-1.083983595229116,-0.0707686807406813
NIFTY50,NSE daily,2018,-0.5253759492642127,-0.04664747651774749
NIFTY50,NSE daily,2019,0.4145105008660817,0.0366425018365687
NIFTY50,NSE daily,2020,-1.3822228020014322,-0.37448208587503656
NIFTY50,NSE daily,2021,-0.006776986715365105,-0.0006917910323606807
NIFTY50,NSE daily,2022,-0.03604592133275751,-0.0035524375335098946
NIFTY50,NSE daily,2023,-1.5146783178319296,-0.11400413191381666
NIFTY50,NSE daily,2024,1.4626218490239584,0.10825391882896135
NIFTY50,NSE daily,2025,1.9368696600106736,0.10878990577834027
BANKNIFTY,NSE daily,2012,,0.0
BANKNIFTY,NSE daily,2013,0.005007906728700833,0.0003859352777364593
BANKNIFTY,NSE daily,2014,-2.578471746677128,-0.409093428610208
BANKNIFTY,NSE daily,2015,1.3649668924052447,0.19986949030943751
BANKNIFTY,NSE daily,2016,-0.6952317142192631,-0.10679694101626713
BANKNIFTY,NSE daily,2017,-1.4006335576507325,-0.1355442070702104
BANKNIFTY,NSE daily,2018,-0.6149414203326746,-0.06934137299409737
BANKNIFTY,NSE daily,2019,-1.0141118957414061,-0.13184541113450865
BANKNIFTY,NSE daily,2020,-0.9780676843118189,-0.3438833731297519
BANKNIFTY,NSE daily,2021,-0.42351039446674515,-0.06974114343373011
BANKNIFTY,NSE daily,2022,-0.6422407298593793,-0.09735262993224261
BANKNIFTY,NSE daily,2023,-0.3540032521287011,-0.0353871017337697
