sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-4.0797332055871225,-0.33422396420502204,0.4686306361680643,1826,0.5142387732749178,5.8455640744797375,39,0.002677069031574175,-0.008749147267666756,-2.190828799837302,-3.055897005934959,22777,NIFTY,2.5,0.3,10
-2.343060653014561,-0.2150744827885894,0.4638451069060895,931,0.5316863587540279,11.348012889366272,61,0.0045245882270369304,-0.012251426637124894,-1.1584701700463755,-1.9434806713567978,22777,NIFTY,2.5,0.3,20
-0.8846828590007589,-0.1001860962418054,0.42468279404662596,360,0.5888888888888889,26.772222222222222,117,0.008197656604347072,-0.02030469937256275,-0.3538008841107935,-0.9133914229069149,22777,NIFTY,2.5,0.3,50
-0.6285223493433518,-0.07443313400173403,0.4187118584537033,171,0.5672514619883041,55.60818713450293,229,0.013375396044065686,-0.029967796877235952,0.1419673577218024,-1.0621709103628907,22777,NIFTY,2.5,0.3,100
-4.4522239602490785,-0.3354240504381351,0.4033015761513808,1958,0.507150153217569,4.691521961184883,25,0.002285558287685352,-0.007816183100085519,-2.2793185080868366,-2.9937388038241344,22777,NIFTY,2.5,0.6,10
-2.472258549742539,-0.20820289686205984,0.38964745137638845,1002,0.5429141716566867,8.857285429141717,46,0.0037672239847712395,-0.011025222467931577,-1.141361507475141,-1.8588205351219669,22777,NIFTY,2.5,0.6,20
-1.0582352343167052,-0.10473247730269797,0.3521973921060719,377,0.5649867374005305,21.185676392572944,84,0.007124657330987537,-0.01751768793214152,-0.43202617341622984,-0.9233226359546343,22777,NIFTY,2.5,0.6,50
-0.65688998672604,-0.07194773901674324,0.3437239320367037,186,0.5967741935483871,41.94086021505376,206,0.01077410965834844,-0.027673141926487847,0.00831461875173456,-0.8878740911616456,22777,NIFTY,2.5,0.6,100
-5.046616133255789,-0.33798860199265063,0.30587873732273785,2147,0.48253376804843967,3.2449930135072194,19,0.0018295127035008703,-0.006501319483665183,-2.500544367081989,-2.8270464184431274,22777,NIFTY,2.5,1.0,10
-2.734870491042629,-0.19790920972935303,0.2869561399657549,1096,0.5228102189781022,5.963503649635037,34,0.0029074439043868215,-0.008618895089129223,-1.1388641270024658,-1.702852647398469,22777,NIFTY,2.5,1.0,20
-1.4508203790719032,-0.12240925292108956,0.2642578039250121,402,0.5248756218905473,14.885572139303482,63,0.0056343509815206015,-0.01472294027282742,-0.6713368983779517,-0.9518966366312387,22777,NIFTY,2.5,1.0,50
-0.6946599629495456,-0.06821918794331816,0.24573034201167845,200,0.565,27.845,98,0.008378805270062396,-0.020671507112751727,-0.11486352121689974,-0.7367526020754506,22777,NIFTY,2.5,1.0,100
-5.850204682349858,-0.3333671756436056,0.20538262282126707,2401,0.4277384423157018,1.9483548521449396,7,0.001168362765139313,-0.0046933078431296345,-2.4835579166631616,-2.765138499998882,22777,NIFTY,2.5,1.5,10
-3.417366537176902,-0.20540037668077776,0.18720639241339948,1244,0.49437299035369775,3.427652733118971,15,0.002010410186603836,-0.006683306150715149,-1.4516217543373156,-1.5157755497011536,22777,NIFTY,2.5,1.5,20
-1.5734905565948916,-0.10228845897818294,0.16780085173640075,469,0.5031982942430704,8.149253731343284,38,0.004257874168054587,-0.010252153904879983,-0.46384897799968544,-0.9200445781764683,22777,NIFTY,2.5,1.5,50
-0.79102593759751,-0.062433567455625144,0.15287351275409405,229,0.5283842794759825,15.08296943231441,59,0.005893422412524173,-0.01387540212154873,-0.2982237180502555,-0.48721559916158164,22777,NIFTY,2.5,1.5,100
