sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,dir,bps
-11.566603280884884,-0.9746427989316471,0.15551588047359519,1518,0.0,1.0810276679841897,20,,-0.014489319661841558,-11.53894535935239,-10.455841887323093,10642,KOTAKBANK,BREAK,5.0
-12.199482274214024,-0.9802839256094895,0.15551588047359519,1518,0.0,1.0810276679841897,20,,-0.015489319661841557,-12.339945359352392,-11.172841887323091,10642,KOTAKBANK,BREAK,10.0
-0.17278450032010992,-0.06403057756270536,0.47354571938727563,673,0.711738484398217,7.487369985141159,68,0.008550915398256417,-0.02259327248103252,0.4943611783148212,-0.7815675638703063,10641,BHARTIARTL,FADE,0.0
-0.36660638465516554,-0.10445235206584282,0.47354571938727563,673,0.6968796433878157,7.487369985141159,68,0.008329447891708489,-0.02187704630768023,0.35476117831482135,-0.9111675638703062,10641,BHARTIARTL,FADE,2.0
-0.6589632583943424,-0.16184936035630218,0.47354571938727563,673,0.6864784546805349,7.487369985141159,68,0.007850082480602849,-0.02173907341987678,0.1453611783148212,-1.1055675638703062,10641,BHARTIARTL,FADE,5.0
-1.1498959855405413,-0.24948637402233637,0.47354571938727563,673,0.662704309063893,7.487369985141159,68,0.007113050409535875,-0.021170162415015355,-0.20363882168517886,-1.4295675638703063,10641,BHARTIARTL,FADE,10.0
-11.81868262634039,-0.9865994204147776,0.1739498167465464,1612,0.0,1.1482630272952854,69,,-0.016039179893575475,-12.550035751724462,-13.305122236719203,10641,BHARTIARTL,BREAK,0.0
-12.05977773447316,-0.987958189654468,0.1739498167465464,1612,0.0,1.1482630272952854,69,,-0.016439179893575476,-12.854435751724463,-13.645522236719202,10641,BHARTIARTL,BREAK,2.0
-12.415238841304618,-0.9897428543927245,0.1739498167465464,1612,0.0,1.1482630272952854,69,,-0.017039179893575476,-13.311035751724464,-14.156122236719202,10641,BHARTIARTL,BREAK,5.0
-12.991162478030285,-0.9921499778235989,0.1739498167465464,1612,0.0,1.1482630272952854,69,,-0.018039179893575473,-14.072035751724464,-15.007122236719201,10641,BHARTIARTL,BREAK,10.0
-1.4747499993425122,-0.31372693828373277,0.476038338658147,547,0.6124314442413162,9.261425959780622,43,0.008548344358220841,-0.023615974940838422,-0.6332025481143789,-1.5096887793393843,10642,SBIN,FADE,0.0
-1.6302546980231627,-0.33791839302254756,0.476038338658147,547,0.5978062157221207,9.261425959780622,43,0.008352876314551295,-0.02315037219232744,-0.7352025481143789,-1.6264887793393843,10642,SBIN,FADE,2.0
-1.8642041696952982,-0.37262450894289273,0.476038338658147,547,0.5850091407678245,9.261425959780622,43,0.007926853679464932,-0.023024160814460536,-0.8882025481143789,-1.801688779339384,10642,SBIN,FADE,5.0
-2.255526492185836,-0.42649303403818767,0.476038338658147,547,0.5648994515539305,9.261425959780622,43,0.007194014694634875,-0.022940512050823272,-1.143202548114379,-2.0936887793393844,10642,SBIN,FADE,10.0
-10.501359048876022,-0.9835966525515932,0.14968990791204662,1492,0.0,1.0676943699731904,31,,-0.016452428267502636,-13.060150310972608,-11.486872664141323,10642,SBIN,BREAK,0.0
-10.714801608668836,-0.9851425378038843,0.14968990791204662,1492,0.0,1.0676943699731904,31,,-0.016852428267502634,-13.375750310972608,-11.768072664141323,10642,SBIN,BREAK,2.0
-11.030207908650095,-0.9871930241397939,0.14968990791204662,1492,0.0,1.0676943699731904,31,,-0.017452428267502637,-13.849150310972608,-12.189872664141323,10642,SBIN,BREAK,5.0
-11.543133635294309,-0.9900021540046395,0.14968990791204662,1492,0.0,1.0676943699731904,31,,-0.018452428267502638,-14.638150310972607,-12.892872664141324,10642,SBIN,BREAK,10.0
-1.5478940690315561,-0.2772174511533075,0.5028190189813945,628,0.678343949044586,8.520700636942674,58,0.006916341104509787,-0.02388946376222884,-0.4875775878571378,-1.3917327815919194,10642,MARUTI,FADE,0.0
-1.7618660230943908,-0.3064057238377869,0.5028190189813945,628,0.6719745222929936,8.520700636942674,58,0.0065799650772144025,-0.023821629281716186,-0.6163775878571377,-1.5141327815919192,10642,MARUTI,FADE,2.0
-2.084116915870581,-0.3480030523199216,0.5028190189813945,628,0.6576433121019108,8.520700636942674,58,0.006117226163852571,-0.023412673372651946,-0.8095775878571381,-1.6977327815919194,10642,MARUTI,FADE,5.0
-2.6236691576389735,-0.41188654235179595,0.5028190189813945,628,0.6353503184713376,8.520700636942674,58,0.005312805903960411,-0.022948121943795897,-1.131577587857138,-2.0037327815919195,10642,MARUTI,FADE,10.0
