inst,pnl,bars,side
NIFTY,-0.021552500235711446,45,1.0
NIFTY,0.006851601687558716,3,1.0
NIFTY,0.0023568179656495622,9,-1.0
NIFTY,0.0018729053569969108,7,1.0
NIFTY,0.004246308810915658,5,1.0
NIFTY,0.004302355639385308,2,1.0
NIFTY,-0.0010915818621786714,8,1.0
NIFTY,0.0008003300781248364,7,-1.0
NIFTY,-0.007229458570047569,14,1.0
NIFTY,-7.313022611697115e-05,10,-1.0
NIFTY,0.0029396752732023554,5,-1.0
NIFTY,-0.018102622580974,33,-1.0
NIFTY,-0.006746041067722322,20,-1.0
NIFTY,0.002873293391726533,5,1.0
NIFTY,-0.008721838325319076,27,-1.0
NIFTY,0.0013763470594266183,1,-1.0
NIFTY,0.0012552396899762333,1,1.0
NIFTY,-0.011006465317661288,18,-1.0
NIFTY,0.0029223260106842363,7,1.0
NIFTY,0.0038922938608985094,3,-1.0
NIFTY,-0.010576698914729574,17,1.0
NIFTY,0.006514154775632915,4,-1.0
NIFTY,-0.01660476381997962,21,1.0
NIFTY,0.0010869119047013168,15,1.0
NIFTY,0.0027507119086803635,9,-1.0
NIFTY,-0.014518355317955577,20,-1.0
NIFTY,-0.0006897764718253318,10,1.0
NIFTY,-0.009851682840229815,23,-1.0
NIFTY,-0.0007259865799573162,9,-1.0
NIFTY,-0.013145253232483183,17,1.0
NIFTY,0.0030923175895533036,1,-1.0
NIFTY,-0.0076547033051299436,16,1.0
NIFTY,-0.0016078263121576991,12,1.0
NIFTY,-0.0006588877469853945,7,-1.0
NIFTY,-0.0009152679326532868,9,1.0
NIFTY,-0.009854362789963742,16,1.0
NIFTY,-0.006132811816707545,14,-1.0
NIFTY,-0.008301625761185052,15,1.0
NIFTY,0.0018779997157583807,3,-1.0
NIFTY,0.005107287880127495,1,-1.0
NIFTY,0.003686264548338803,2,-1.0
NIFTY,-0.014121405567305971,20,-1.0
NIFTY,0.002177621506465248,3,1.0
NIFTY,0.003019375023138524,2,1.0
NIFTY,-0.007527586392543735,19,-1.0
NIFTY,-0.004229923847601961,18,1.0
NIFTY,-0.030434859652838472,33,1.0
NIFTY,0.004886610229105848,3,-1.0
NIFTY,0.008873180952590471,2,1.0
NIFTY,0.003197856394954474,2,1.0
NIFTY,0.0008673743000902838,6,-1.0
NIFTY,0.0019518847139494927,8,-1.0
NIFTY,0.004917210930469383,3,-1.0
NIFTY,0.003003521486401502,5,1.0
NIFTY,-0.00755601839509632,16,1.0
NIFTY,0.004895804677007611,1,1.0
NIFTY,0.0037809612320497737,1,1.0
NIFTY,0.0004555400271260424,7,-1.0
NIFTY,0.0058029999322384606,3,1.0
NIFTY,-0.0019255517641507517,12,-1.0
NIFTY,-0.003504740471094093,18,-1.0
NIFTY,-0.030298222968567885,25,1.0
NIFTY,-0.018805857296055363,20,1.0
NIFTY,0.008921793314377575,7,-1.0
NIFTY,0.004598559893733444,5,-1.0
NIFTY,-0.010910887556615014,16,1.0
NIFTY,-0.0077869592270726545,14,-1.0
NIFTY,0.002506828254244303,8,1.0
NIFTY,-0.008771146201234422,20,-1.0
NIFTY,0.009229750668560976,3,1.0
NIFTY,-0.05107178628221831,19,-1.0
NIFTY,0.005403598199056064,9,1.0
NIFTY,0.008047471052452019,1,-1.0
NIFTY,-0.022981580812115675,38,-1.0
NIFTY,0.003761646222353034,1,1.0
NIFTY,0.0022025209160009152,2,1.0
NIFTY,-0.018888692303448203,22,-1.0
NIFTY,0.0031406467996006313,6,-1.0
NIFTY,0.0031571006621823783,7,1.0
NIFTY,0.004710297704544461,3,1.0
NIFTY,0.004476823683249221,2,1.0
NIFTY,0.0029201636158621455,5,-1.0
NIFTY,-0.002610335984324149,13,-1.0
NIFTY,0.0034475442462821,5,1.0
NIFTY,0.0018251670950002986,8,-1.0
NIFTY,0.0014379488784270647,7,-1.0
NIFTY,0.003795819282447853,5,1.0
NIFTY,0.0030390834098890708,5,1.0
NIFTY,-0.007191306030479825,22,-1.0
NIFTY,0.002740297072008778,1,1.0
NIFTY,-0.003404321754349848,12,1.0
NIFTY,0.004800184012747012,2,-1.0
NIFTY,0.0033562470869952636,1,1.0
NIFTY,0.0027674505772962666,6,-1.0
NIFTY,-0.0020815029110396927,7,1.0
NIFTY,0.0024153740711478854,1,-1.0
NIFTY,0.0033645711473761354,1,-1.0
NIFTY,-0.009886633262794008,19,1.0
NIFTY,0.004729043683392438,6,1.0
NIFTY,0.001937669816419155,8,-1.0
NIFTY,0.0042339635874310425,1,-1.0
NIFTY,0.0035198817385055222,2,1.0
NIFTY,-0.00608959512303371,13,1.0
NIFTY,-0.04558789118213392,35,1.0
NIFTY,0.024215587887577942,4,1.0
NIFTY,0.014117600456456202,7,1.0
NIFTY,-0.036084353138818664,21,-1.0
NIFTY,0.014194937133727624,4,-1.0
NIFTY,0.003454665378579135,8,1.0
NIFTY,0.00252954183834803,9,-1.0
NIFTY,-0.09429022527013733,41,-1.0
NIFTY,-0.005055405842201058,9,1.0
NIFTY,-0.03874670109118282,28,-1.0
NIFTY,0.011247679385474692,4,1.0
NIFTY,-0.025811612578012726,27,-1.0
NIFTY,0.004005036059850333,1,1.0
NIFTY,0.004546973143899487,3,-1.0
NIFTY,-0.002441778783721118,7,1.0
NIFTY,-0.019688468828073763,20,-1.0
NIFTY,0.004206271493425168,1,-1.0
NIFTY,0.004620024772652397,3,1.0
NIFTY,0.0015646881935927005,8,-1.0
NIFTY,-0.01000188993608478,17,1.0
NIFTY,0.002882648643496702,1,-1.0
NIFTY,0.003304512730958734,1,-1.0
NIFTY,0.0008625333465077988,7,1.0
NIFTY,-0.008874517289545449,18,-1.0
NIFTY,0.001989771060070551,6,1.0
NIFTY,-0.04497197200144829,33,1.0
NIFTY,-0.042960275391050656,42,-1.0
NIFTY,0.005012348329008535,4,-1.0
NIFTY,0.006865660095180955,1,1.0
NIFTY,-0.00017207009914393454,8,1.0
NIFTY,0.002457713769742112,10,1.0
